PROGRAMNAME,PROGRAMURL,CATALOGNAME,LASTUPDATED,NAME,KEYWORDS,DESCRIPTION,SKU,MANUFACTURER,MANUFACTURERID,UPC,ISBN,CURRENCY,SALEPRICE,PRICE,RETAILPRICE,FROMPRICE,BUYURL,IMPRESSIONURL,IMAGEURL,ADVERTISERCATEGORY,THIRDPARTYID,THIRDPARTYCATEGORY,AUTHOR,ARTIST,TITLE,PUBLISHER,LABEL,FORMAT,SPECIAL,GIFT,PROMOTIONALTEXT,STARTDATE,ENDDATE,OFFLINE,ONLINE,INSTOCK,CONDITION,WARRANTY,STANDARDSHIPPINGCOST
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,09/04/2013,"72"" Cocoon Corpse","corpse, hanging prop, decor, halloween prop","Includes (1) Cocoon Corpse that is 72"" high x 20"" wide and is made of foam, cloth and wire. Prop collapses for easy storage. Please note: Pumpkin and light in image are not included.",198096,Fun World,91076,071765018708,,USD,34.99,34.99,,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2F72-Cocoon-Corpse%2F75020%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/75020.jpg?zm=250,250,1,0,0",Scary Creatures>DECOR and PROPS: Large Props>Holidays: Scary Creatures,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Baby Shower Confetti,"baby shower, decoration, party, birth, child",Includes 0.5 oz. of multicolored confetti,142791,Amscan,36032,048419449317,,USD,1.99,1.99,2.29,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FBaby-Shower-Confetti%2F26981%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/26981.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Sparkle Hearts Red Confetti,"confetti, hearts, valentine's day, red, valentine, valentine's day, valentines,",Includes one 0.5 oz. package of confetti.,143562,Amscan,37009.07,048419493266,,USD,1.99,1.99,2.29,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FSparkle-Hearts-Red-Confetti%2F24883%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/24883.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Father's Day Sailing Foil Balloon,"Father's Day Sailing 18"" Foil Balloon, mylar, father's day, fathers day, dad","Includes 1 -18"" foil balloon.",202896,Party Destination,17387,071444442534,,USD,1.60,1.60,2.99,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FFathers-Day-Sailing-Foil-Balloon%2F75455%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/75455.jpg?zm=250,250,1,0,0",Classic Themes>Foil Balloons: Father's Day>Holidays: Classic Themes,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,World's Greatest Dad Foil Balloon,"World's Greatest Dad 18"" Foil Balloon, mylar, father's day, fathers day, dad","Includes 1 -18"" foil balloon.",202897,Party Destination,12977,026635070539,,USD,1.60,1.60,2.99,,http://www.kqzyfj.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FWorlds-Greatest-Dad-Foil-Balloon%2F75456%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/75456.jpg?zm=250,250,1,0,0",Classic Themes>Foil Balloons: Father's Day>Holidays: Classic Themes,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Handy Dad Tools Foil Balloon,"Handy Dad Tools 18"" Foil Balloon, mylar, father's day, fathers day, dad","Includes 1 -18"" foil balloon.",202898,Party Destination,47100,030625866545,,USD,1.60,1.60,2.99,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FHandy-Dad-Tools-Foil-Balloon%2F75457%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/75457.jpg?zm=250,250,1,0,0",Classic Themes>Foil Balloons: Father's Day>Holidays: Classic Themes,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Happy Dad's Day Foil Balloon,"Happy Dad's Day 18"" Foil Balloon, mylar, father's day, fathers day, dad","Includes 1 -18"" foil balloon.",202899,Party Destination,31716,026635153324,,USD,1.60,1.60,2.99,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FHappy-Dads-Day-Foil-Balloon%2F75458%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/75458.jpg?zm=250,250,1,0,0",Classic Themes>Foil Balloons: Father's Day>Holidays: Classic Themes,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Happy Easter Chick / Flower - Foil Balloon,"easter, easter day, easter sunday, Resurrection Day, Resurrection Sunday, foil balloon, balloon, mylar,","Includes (1) 18"" balloon.",209843,Mayflower Distributing,50587,026635212830,,USD,1.35,1.35,2.99,,http://www.jdoqocy.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FHappy-Easter-Chick-Flower-Foil-Balloon%2F81009%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/81009.jpg?zm=250,250,1,0,0",Seasonal>Foil Balloons: Easter>Holidays: Seasonal,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,Congrats Graduate Graduation - Invitations,"graduation, commencement, grad, class of 2012, invite, invitation,",Includes (8) invitations with envelopes.,220210,Creative Converting,892443,073525866987,,USD,1.27,1.27,3.59,,http://www.tkqlhce.com/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FCongrats-Graduate-Graduation-Invitations%2F81299%2FPartyItemDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/81299.jpg?zm=250,250,1,0,0",Classic Themes>Invites: Graduation>Occasions: Classic Themes,,,,,,,,,,,,,,,,YES,New,,4.99
Birthday Express,http://www.birthdayexpress.com,Express Family – Product Catalog Feed,06/18/2013,One More Candle 16 oz. Paper Cups (8),"birthday, over the hill,",Package includes 8 paper cups. Each holds 16 fl. oz. (8),147387,Hallmark,1DC2770,726528197977,,USD,3.49,3.49,4.01,,http://www.dpbolvw.net/click-7232845-10645522?url=http%3A%2F%2Fwww.CelebrateExpress.com%2FOne-More-Candle-16-oz-Paper-Cups-8%2F29504%2FProductDetail.aspx%3FREF%3DAFC-CELE-unk-unk-feed%5Bproduct%5D,http://www.awltovhc.com/image-7232845-10645522,"http://images.celebrateexpress.com/mgen/merchandiser/29504.jpg?zm=250,250,1,0,0?zm=250,250,1,0,0",>>,,,,,,,,,,,,,,,,YES,New,,4.99
